# luci-app-videoplayer release codec manifest v1
# source_commit=80a4045b8fedc431467de9ad60416314b789fa79
# format|release|revision|architecture|asset|sha256|local_package_name
apk|25.12.5|r33051-f5dae5ece4|aarch64_cortex-a53|luci-videoplayer-codec-runtime-6.1.4-r5_aarch64_cortex-a53.apk|2b04eeb65a9cece7dc4268ff6bccae0ae78bff783d355b37818096d8816d3436|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|aarch64_cortex-a53|luci-videoplayer-codec-runtime_6.1.4-r5_aarch64_cortex-a53.ipk|45a4f0f6c1820b761fc7d801aad26ef7ea760f93674dca66839e4c4d8481c528|luci-videoplayer-codec-runtime_6.1.4-r5_aarch64_cortex-a53.ipk
apk|25.12.5|r33051-f5dae5ece4|aarch64_cortex-a72|luci-videoplayer-codec-runtime-6.1.4-r5_aarch64_cortex-a72.apk|0149bf4a869c506f8405ed05c5c1afe78a3eb6ae0064be55d977f58f525b528f|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|aarch64_cortex-a72|luci-videoplayer-codec-runtime_6.1.4-r5_aarch64_cortex-a72.ipk|e8329c0a181b168ca13b926cb245f77e960caba0f35d9203069b322045f07077|luci-videoplayer-codec-runtime_6.1.4-r5_aarch64_cortex-a72.ipk
apk|25.12.5|r33051-f5dae5ece4|aarch64_cortex-a76|luci-videoplayer-codec-runtime-6.1.4-r5_aarch64_cortex-a76.apk|06029098851f997682649e7fa11d6bf0f471c06dfe334dfb208ab02ccddbf7e0|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|aarch64_cortex-a76|luci-videoplayer-codec-runtime_6.1.4-r5_aarch64_cortex-a76.ipk|7ee746e4b10f3c4af1a241b0f01020398a6f8ee96dde037f99ff3b592c4f0239|luci-videoplayer-codec-runtime_6.1.4-r5_aarch64_cortex-a76.ipk
apk|25.12.5|r33051-f5dae5ece4|aarch64_generic|luci-videoplayer-codec-runtime-6.1.4-r5_aarch64_generic.apk|6f277c1cf7d5006ede726cfcc88d9ccc0e907ef8d4e26f7901bc18db8f96b51a|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|aarch64_generic|luci-videoplayer-codec-runtime_6.1.4-r5_aarch64_generic.ipk|e914db3641c0a84e8e11384d3edd53bf3d50886f9914753b3a5d8fb5ff0f82ab|luci-videoplayer-codec-runtime_6.1.4-r5_aarch64_generic.ipk
apk|25.12.5|r33051-f5dae5ece4|arm_arm1176jzf-s_vfp|luci-videoplayer-codec-runtime-6.1.4-r5_arm_arm1176jzf-s_vfp.apk|790606b51813f74b80c733d0df9e3adf61b9641f042e3f69a1f4e2932d09d24f|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|arm_arm1176jzf-s_vfp|luci-videoplayer-codec-runtime_6.1.4-r5_arm_arm1176jzf-s_vfp.ipk|618b2281764cfd8eee0425fb372c28bec8f21fceb642475edd03f44ead3a2606|luci-videoplayer-codec-runtime_6.1.4-r5_arm_arm1176jzf-s_vfp.ipk
